SampleID,VariableCount,CoverageType,T,Coverage
10,2238,t,1,0.949
12,2238,t,1,1
24,2238,t,1,1
36,2238,t,1,1
37,2238,t,1,1
60,2238,t,1,0.949
61,2238,t,1,1
62,2238,t,1,0.887
63,2238,t,1,1
64,2238,t,1,1
65,2238,t,1,0.949
66,2238,t,1,1
67,2238,t,1,0.867
68,2238,t,1,1
69,2238,t,1,0.984
70,2238,t,1,0.949
71,2238,t,1,1
72,2238,t,1,1
73,2238,t,1,1
74,2238,t,1,1
75,2238,t,1,0.949
76,2238,t,1,1
77,2238,t,1,1
78,2238,t,1,1
79,2238,t,1,1
300,2238,t,1,0.949
301,2238,t,1,1
303,2238,t,1,1
305,2238,t,1,0.949
306,2238,t,1,1
308,2238,t,1,1
310,2238,t,1,0.949
311,2238,t,1,1
312,2238,t,1,1
313,2238,t,1,1
314,2238,t,1,1
315,2238,t,1,0.949
316,2238,t,1,1
317,2238,t,1,1
318,2238,t,1,1
319,2238,t,1,1
540,2238,t,1,0.949
541,2238,t,1,1
542,2238,t,1,1
543,2238,t,1,1
544,2238,t,1,1
545,2238,t,1,0.949
546,2238,t,1,1
547,2238,t,1,1
548,2238,t,1,1
549,2238,t,1,1
550,2238,t,1,0.949
551,2238,t,1,1
552,2238,t,1,1
553,2238,t,1,1
554,2238,t,1,1
645,2238,t,1,0.949
646,2238,t,1,1
647,2238,t,1,1
648,2238,t,1,1
649,2238,t,1,1
650,2238,t,1,0.949
651,2238,t,1,1
652,2238,t,1,1
653,2238,t,1,1
654,2238,t,1,1
655,2238,t,1,0.949
656,2238,t,1,1
657,2238,t,1,1
658,2238,t,1,1
659,2238,t,1,1
10,2238,f,1,1
12,2238,f,1,1
24,2238,f,1,1
36,2238,f,1,1
37,2238,f,1,1
60,2238,f,1,1
61,2238,f,1,1
62,2238,f,1,0.885
63,2238,f,1,1
64,2238,f,1,1
65,2238,f,1,1
66,2238,f,1,1
67,2238,f,1,0.865
68,2238,f,1,1
69,2238,f,1,0.984
70,2238,f,1,1
71,2238,f,1,1
72,2238,f,1,1
73,2238,f,1,1
74,2238,f,1,1
75,2238,f,1,1
76,2238,f,1,1
77,2238,f,1,1
78,2238,f,1,1
79,2238,f,1,1
300,2238,f,1,1
301,2238,f,1,1
303,2238,f,1,1
305,2238,f,1,1
306,2238,f,1,1
308,2238,f,1,1
310,2238,f,1,1
311,2238,f,1,1
312,2238,f,1,1
313,2238,f,1,1
314,2238,f,1,1
315,2238,f,1,1
316,2238,f,1,1
317,2238,f,1,1
318,2238,f,1,1
319,2238,f,1,1
540,2238,f,1,1
541,2238,f,1,1
542,2238,f,1,1
543,2238,f,1,1
544,2238,f,1,1
545,2238,f,1,1
546,2238,f,1,1
547,2238,f,1,1
548,2238,f,1,1
549,2238,f,1,1
550,2238,f,1,1
551,2238,f,1,1
552,2238,f,1,1
553,2238,f,1,1
554,2238,f,1,1
645,2238,f,1,1
646,2238,f,1,1
647,2238,f,1,1
648,2238,f,1,1
649,2238,f,1,1
650,2238,f,1,1
651,2238,f,1,1
652,2238,f,1,1
653,2238,f,1,1
654,2238,f,1,1
655,2238,f,1,1
656,2238,f,1,1
657,2238,f,1,1
658,2238,f,1,1
659,2238,f,1,1
10,2238,t,2,0.812
12,2238,t,2,0.501
24,2238,t,2,1
36,2238,t,2,0.934
37,2238,t,2,1
60,2238,t,2,0.773
61,2238,t,2,0.501
62,2238,t,2,0.588
63,2238,t,2,0.525
64,2238,t,2,0.869
65,2238,t,2,0.774
66,2238,t,2,0.501
67,2238,t,2,0.569
68,2238,t,2,0.547
69,2238,t,2,0.789
70,2238,t,2,0.774
71,2238,t,2,0.501
72,2238,t,2,0.927
73,2238,t,2,0.514
74,2238,t,2,0.925
75,2238,t,2,0.773
76,2238,t,2,0.501
77,2238,t,2,0.908
78,2238,t,2,0.626
79,2238,t,2,0.913
300,2238,t,2,0.812
301,2238,t,2,0.501
303,2238,t,2,0.934
305,2238,t,2,0.812
306,2238,t,2,0.501
308,2238,t,2,0.934
310,2238,t,2,0.812
311,2238,t,2,0.501
312,2238,t,2,1
313,2238,t,2,0.934
314,2238,t,2,1
315,2238,t,2,0.812
316,2238,t,2,0.501
317,2238,t,2,1
318,2238,t,2,0.934
319,2238,t,2,1
540,2238,t,2,0.774
541,2238,t,2,0.501
542,2238,t,2,0.98
543,2238,t,2,0.506
544,2238,t,2,0.962
545,2238,t,2,0.778
546,2238,t,2,0.501
547,2238,t,2,0.977
548,2238,t,2,0.555
549,2238,t,2,0.963
550,2238,t,2,0.778
551,2238,t,2,0.501
552,2238,t,2,0.968
553,2238,t,2,0.583
554,2238,t,2,0.977
645,2238,t,2,0.812
646,2238,t,2,0.501
647,2238,t,2,1
648,2238,t,2,0.934
649,2238,t,2,1
650,2238,t,2,0.812
651,2238,t,2,0.501
652,2238,t,2,1
653,2238,t,2,0.934
654,2238,t,2,1
655,2238,t,2,0.812
656,2238,t,2,0.501
657,2238,t,2,1
658,2238,t,2,0.934
659,2238,t,2,1
10,2238,f,2,1
12,2238,f,2,0.466
24,2238,f,2,0.997
36,2238,f,2,1
37,2238,f,2,1
60,2238,f,2,0.951
61,2238,f,2,0.466
62,2238,f,2,0.585
63,2238,f,2,0.495
64,2238,f,2,0.877
65,2238,f,2,0.953
66,2238,f,2,0.466
67,2238,f,2,0.573
68,2238,f,2,0.523
69,2238,f,2,0.791
70,2238,f,2,0.953
71,2238,f,2,0.466
72,2238,f,2,0.924
73,2238,f,2,0.481
74,2238,f,2,0.933
75,2238,f,2,0.951
76,2238,f,2,0.466
77,2238,f,2,0.906
78,2238,f,2,0.62
79,2238,f,2,0.913
300,2238,f,2,1
301,2238,f,2,0.466
303,2238,f,2,1
305,2238,f,2,1
306,2238,f,2,0.466
308,2238,f,2,1
310,2238,f,2,1
311,2238,f,2,0.466
312,2238,f,2,0.997
313,2238,f,2,1
314,2238,f,2,1
315,2238,f,2,1
316,2238,f,2,0.466
317,2238,f,2,0.997
318,2238,f,2,1
319,2238,f,2,1
540,2238,f,2,0.953
541,2238,f,2,0.466
542,2238,f,2,0.977
543,2238,f,2,0.472
544,2238,f,2,0.973
545,2238,f,2,0.958
546,2238,f,2,0.466
547,2238,f,2,0.974
548,2238,f,2,0.532
549,2238,f,2,0.973
550,2238,f,2,0.957
551,2238,f,2,0.466
552,2238,f,2,0.965
553,2238,f,2,0.568
554,2238,f,2,0.981
645,2238,f,2,1
646,2238,f,2,0.466
647,2238,f,2,0.997
648,2238,f,2,1
649,2238,f,2,1
650,2238,f,2,1
651,2238,f,2,0.466
652,2238,f,2,0.997
653,2238,f,2,1
654,2238,f,2,1
655,2238,f,2,1
656,2238,f,2,0.466
657,2238,f,2,0.997
658,2238,f,2,1
659,2238,f,2,1
11,1920,t,1,0.613
13,1920,t,1,1
25,1920,t,1,1
38,1920,t,1,1
39,1920,t,1,1
80,1920,t,1,0.613
81,1920,t,1,1
82,1920,t,1,0.945
83,1920,t,1,0.999
84,1920,t,1,0.948
85,1920,t,1,0.613
86,1920,t,1,1
87,1920,t,1,0.942
88,1920,t,1,1
89,1920,t,1,0.948
90,1920,t,1,0.613
91,1920,t,1,1
92,1920,t,1,1
93,1920,t,1,1
94,1920,t,1,1
95,1920,t,1,0.613
96,1920,t,1,1
97,1920,t,1,1
98,1920,t,1,1
99,1920,t,1,1
330,1920,t,1,0.613
332,1920,t,1,1
333,1920,t,1,1
334,1920,t,1,1
335,1920,t,1,0.613
337,1920,t,1,1
338,1920,t,1,1
339,1920,t,1,1
555,1920,t,1,0.613
556,1920,t,1,1
557,1920,t,1,1
558,1920,t,1,1
559,1920,t,1,1
560,1920,t,1,0.613
561,1920,t,1,1
562,1920,t,1,1
563,1920,t,1,1
564,1920,t,1,1
565,1920,t,1,0.613
566,1920,t,1,1
567,1920,t,1,1
568,1920,t,1,1
569,1920,t,1,1
660,1920,t,1,0.613
662,1920,t,1,1
663,1920,t,1,1
664,1920,t,1,1
665,1920,t,1,0.613
667,1920,t,1,1
668,1920,t,1,1
