ID,SystemID,ModelID,Path,Type,Algorithm,AlgorithmIt,T,Size,Time,OriginalID,Error,Timeout,Seed
0,8,-1,f,f,,1,0,10872,-1,-1,false,false,0
1,10,-1,f,f,,1,0,1039,-1,-1,false,false,0
2,11,-1,f,f,,1,0,110524,-1,-1,false,false,0
3,9,-1,f,f,,1,0,11950,-1,-1,false,false,0
4,7,-1,f,f,,1,0,31279,-1,-1,false,false,0
5,1,-1,f,f,,1,0,233309,-1,-1,false,false,0
6,2,-1,f,f,,1,0,247780,-1,-1,false,false,0
7,3,-1,f,f,,1,0,45387,-1,-1,false,false,0
8,4,-1,f,f,,1,0,27808,-1,-1,false,false,0
9,5,-1,f,f,,1,0,129,-1,-1,false,false,0
10,0,-1,f,f,,1,0,5749,-1,-1,false,false,0
11,6,-1,f,f,,1,0,61,-1,-1,false,false,0
12,0,912,0/y_t1,t,yasa,1,1,2,93094045,-1,false,false,0
13,6,913,0/y_t1,t,yasa,1,1,3,229017093,-1,false,false,0
14,10,94,2020-12-06_00-02-46/y_t1,t,yasa,1,1,4,1632325,-1,false,false,0
15,11,271,2020-12-24_11-54-53/y_t1,t,yasa,1,1,52,6551957,-1,false,false,0
16,9,444,2017-03-09_21-02-40/y_t1,t,yasa,1,1,7,6161663,-1,false,false,0
17,8,32,2020-12-01_14-09-14/y_t1,t,yasa,1,1,59,5557934,-1,false,false,0
18,7,898,2020-12-16_21-53-05/y_t1,t,yasa,1,1,6,5337352,-1,false,false,0
19,1,901,2023-07-24/y_t1,t,yasa,1,1,4,2132461,-1,false,false,0
20,2,904,2023-07-24/y_t1,t,yasa,1,1,4,2358798,-1,false,false,0
21,3,907,2023-07-24/y_t1,t,yasa,1,1,5,2066392,-1,false,false,0
22,4,910,2023-07-24/y_t1,t,yasa,1,1,4,1588585,-1,false,false,0
23,5,911,0/y_t1,t,yasa,1,1,2,1265569,-1,false,false,0
24,0,912,0/y_t2,t,yasa,1,2,87,9605653,-1,false,false,0
25,6,913,0/y_t2,t,yasa,1,2,139,158956280,-1,false,false,0
26,10,94,2020-12-06_00-02-46/y_t2,t,yasa,1,2,28,850031,-1,false,false,0
27,11,271,2020-12-24_11-54-53/y_t2,t,yasa,1,2,373,3411588,-1,false,false,0
28,9,444,2017-03-09_21-02-40/y_t2,t,yasa,1,2,73,3910820,-1,false,false,0
29,8,32,2020-12-01_14-09-14/y_t2,t,yasa,1,2,218,2938730,-1,false,false,0
30,7,898,2020-12-16_21-53-05/y_t2,t,yasa,1,2,65,2831191,-1,false,false,0
31,1,901,2023-07-24/y_t2,t,yasa,1,2,17,1324264,-1,false,false,0
32,2,904,2023-07-24/y_t2,t,yasa,1,2,19,2211982,-1,false,false,0
33,3,907,2023-07-24/y_t2,t,yasa,1,2,18,1652419,-1,false,false,0
34,4,910,2023-07-24/y_t2,t,yasa,1,2,14,1299201,-1,false,false,0
35,5,911,0/y_t2,t,yasa,1,2,7,897470,-1,false,false,0
36,0,912,0/c_y_t1,c,,1,-1,5751,-1,-1,false,false,0
37,0,912,0/c_y_t2,c,,1,-1,5836,-1,-1,false,false,0
38,6,913,0/c_y_t1,c,,1,-1,64,-1,-1,false,false,0
39,6,913,0/c_y_t2,c,,1,-1,200,-1,-1,false,false,0
40,10,94,2020-12-06_00-02-46/c_y_t1,c,,1,-1,1043,-1,-1,false,false,0
41,10,94,2020-12-06_00-02-46/c_y_t2,c,,1,-1,1067,-1,-1,false,false,0
42,11,271,2020-12-24_11-54-53/c_y_t1,c,,1,-1,110576,-1,-1,false,false,0
43,11,271,2020-12-24_11-54-53/c_y_t2,c,,1,-1,110897,-1,-1,false,false,0
44,9,444,2017-03-09_21-02-40/c_y_t1,c,,1,-1,11957,-1,-1,false,false,0
45,9,444,2017-03-09_21-02-40/c_y_t2,c,,1,-1,12023,-1,-1,false,false,0
46,8,32,2020-12-01_14-09-14/c_y_t1,c,,1,-1,10931,-1,-1,false,false,0
47,8,32,2020-12-01_14-09-14/c_y_t2,c,,1,-1,11090,-1,-1,false,false,0
48,7,898,2020-12-16_21-53-05/c_y_t1,c,,1,-1,31285,-1,-1,false,false,0
49,7,898,2020-12-16_21-53-05/c_y_t2,c,,1,-1,31344,-1,-1,false,false,0
50,1,901,2023-07-24/c_y_t1,c,,1,-1,233313,-1,-1,false,false,0
51,1,901,2023-07-24/c_y_t2,c,,1,-1,233326,-1,-1,false,false,0
52,2,904,2023-07-24/c_y_t1,c,,1,-1,247784,-1,-1,false,false,0
53,2,904,2023-07-24/c_y_t2,c,,1,-1,247799,-1,-1,false,false,0
54,3,907,2023-07-24/c_y_t1,c,,1,-1,45392,-1,-1,false,false,0
55,3,907,2023-07-24/c_y_t2,c,,1,-1,45405,-1,-1,false,false,0
56,4,910,2023-07-24/c_y_t1,c,,1,-1,27812,-1,-1,false,false,0
57,4,910,2023-07-24/c_y_t2,c,,1,-1,27822,-1,-1,false,false,0
58,5,911,0/c_y_t1,c,,1,-1,131,-1,-1,false,false,0
59,5,911,0/c_y_t2,c,,1,-1,136,-1,-1,false,false,0
60,0,912,0/f_r_NewSampleReducer_i1_s1_t1,r,NewSampleReducer,1,1,132,1033971250,10,false,false,1
61,0,912,0/y_t1_r_NewSampleReducer_i1_s1_t1,r,NewSampleReducer,1,1,2,99370618,12,false,false,1
62,0,912,0/y_t2_r_NewSampleReducer_i1_s1_t1,r,NewSampleReducer,1,1,3,200718124,24,false,false,1
63,0,912,0/c_y_t1_r_NewSampleReducer_i1_s1_t1,r,NewSampleReducer,1,1,3,1407802175,36,false,false,1
64,0,912,0/c_y_t2_r_NewSampleReducer_i1_s1_t1,r,NewSampleReducer,1,1,13,1263074382,37,false,false,1
